efield,bias,fwhm
-0.1,-0.020000000000218066,6.823295411878866
-0.1,-0.019000000000218176,6.801438532630707
-0.1,-0.018000000000218286,6.780449093676087
-0.1,-0.017000000000218396,6.760331887109672
-0.1,-0.016000000000218506,6.7411023628081574
-0.1,-0.015000000000218616,6.722788322105478
-0.1,-0.014000000000218726,6.705432679067191
-0.1,-0.013000000000218837,6.689104080158733
-0.1,-0.012000000000218947,6.673882438387222
-0.1,-0.011000000000219057,6.659875531766132
-0.1,-0.010000000000219167,6.64722120108605
-0.1,-0.009000000000219277,6.636092759928689
-0.1,-0.008000000000219387,6.626703581481924
-0.1,-0.007000000000219497,6.619309955025808
-0.1,-0.0060000000002196074,6.61421103541092
-0.1,-0.005000000000219718,6.611744026680672
-0.1,-0.004000000000219828,6.612280549878063
-0.1,-0.003000000000219938,6.616181419253333
-0.1,-0.002000000000220048,6.62381659646409
-0.1,-0.0010000000002201581,6.635539026408659
-0.1,-2.2026824808563106e-13,6.651633403082873
-0.1,0.0009999999997796216,6.672350452562524
-0.1,0.0019999999997795115,6.697941834850148
-0.1,0.0029999999997794013,6.7286370128187265
-0.1,0.003999999999779291,6.764691748703851
-0.1,0.004999999999779181,6.806441313577194
-0.1,0.005999999999779071,6.854301617002601
-0.1,0.006999999999778961,6.908814328392448
-0.1,0.00799999999977885,6.970661090170351
-0.1,0.00899999999977874,7.040679199701162
-0.1,0.00999999999977863,7.119868310288292
-0.1,0.01099999999977852,7.209394441457863
-0.1,0.01199999999977841,7.310514623703033
-0.1,0.0129999999997783,7.424559228274662
-0.1,0.01399999999977819,7.55284801044418
-0.1,0.01499999999977808,7.6969491670867916
-0.1,0.01599999999977797,7.858477209574345
-0.1,0.01699999999977786,8.039931787690973
-0.1,0.01799999999977775,8.244651946340532
-0.1,0.01899999999977764,8.478480175217413
-0.07,-0.020000000000218066,6.787915323963379
-0.07,-0.019000000000218176,6.766552274279471
-0.07,-0.018000000000218286,6.745888527917733
-0.07,-0.017000000000218396,6.725900519963065
-0.07,-0.016000000000218506,6.7065876773643875
-0.07,-0.015000000000218616,6.6879579600761865
-0.07,-0.014000000000218726,6.670011466914552
-0.07,-0.013000000000218837,6.652773364472935
-0.07,-0.012000000000218947,6.636272594682461
-0.07,-0.011000000000219057,6.620548834841527
-0.07,-0.010000000000219167,6.60566549499213
-0.07,-0.009000000000219277,6.591702686248476
-0.07,-0.008000000000219387,6.578757127726713
-0.07,-0.007000000000219497,6.566967231534058
-0.07,-0.0060000000002196074,6.556491770767559
-0.07,-0.005000000000219718,6.54752916712217
-0.07,-0.004000000000219828,6.540316735575045
-0.07,-0.003000000000219938,6.535130891915115
-0.07,-0.002000000000220048,6.532277382224594
-0.07,-0.0010000000002201581,6.532109149807744
-0.07,-2.2026824808563106e-13,6.5349613583175925
-0.07,0.0009999999997796216,6.541173208693842
-0.07,0.0019999999997795115,6.5510607694327145
-0.07,0.0029999999997794013,6.564856714240683
-0.07,0.003999999999779291,6.5827827923180084
-0.07,0.004999999999779181,6.604996636441973
-0.07,0.005999999999779071,6.6316261772570275
-0.07,0.006999999999778961,6.662800281624304
-0.07,0.00799999999977885,6.698680968374847
-0.07,0.00899999999977874,6.739467982731383
-0.07,0.00999999999977863,6.785448688026624
-0.07,0.01099999999977852,6.837006436396492
-0.07,0.01199999999977841,6.8946822433237855
-0.07,0.0129999999997783,6.959178898751729
-0.07,0.01399999999977819,7.031414981047478
-0.07,0.01499999999977808,7.112555498299525
-0.07,0.01599999999977797,7.204057645444523
-0.07,0.01699999999977786,7.307755750872142
-0.07,0.01799999999977775,7.425915510922361
-0.07,0.01899999999977764,7.561248386662782
-0.05,-0.020000000000218066,6.766412468952833
-0.05,-0.019000000000218176,6.745750804167299
-0.05,-0.018000000000218286,6.725682433355216
-0.05,-0.017000000000218396,6.7061997076553235
-0.05,-0.016000000000218506,6.687285705433743
-0.05,-0.015000000000218616,6.668934768061364
-0.05,-0.014000000000218726,6.651148927497998
-0.05,-0.013000000000218837,6.633928969618238
-0.05,-0.012000000000218947,6.6172898747206705
-0.05,-0.011000000000219057,6.6012489928484825
-0.05,-0.010000000000219167,6.585846119138381
